id,city,weather,temperature,temperature_f,timestamp,timestamp_local,feels_like,feels_like_f,wind_speed,humidity
1,Bloomington,clear sky,-12.57,9.37,2025-01-24 04:02:08,2025-01-23 22:02:08-06:00,,,,
2,Marquette,broken clouds,-13.5,7.7,2025-01-24 04:02:08,2025-01-23 23:02:08-05:00,,,,
3,Baraboo,clear sky,-16.1,3.02,2025-01-24 04:02:08,2025-01-23 22:02:08-06:00,,,,
4,Zurich,broken clouds,2.82,37.08,2025-01-24 04:02:08,2025-01-24 05:02:08+01:00,,,,
5,Norilsk,overcast clouds,-37.51,-35.52,2025-01-24 04:02:08,2025-01-24 11:02:08+07:00,,,,
6,Nashville,overcast clouds,0.94,33.69,2025-01-24 04:02:09,2025-01-23 22:02:09-06:00,,,,
7,Bloomington,clear sky,-12.85,8.87,2025-01-24 04:04:19,2025-01-23 22:04:19-06:00,,,,
8,Marquette,broken clouds,-13.5,7.7,2025-01-24 04:04:19,2025-01-23 23:04:19-05:00,,,,
9,Baraboo,clear sky,-16.7,1.94,2025-01-24 04:04:19,2025-01-23 22:04:19-06:00,,,,
10,Zurich,broken clouds,2.68,36.82,2025-01-24 04:04:19,2025-01-24 05:04:19+01:00,,,,
11,Norilsk,overcast clouds,-37.51,-35.52,2025-01-24 04:04:19,2025-01-24 11:04:19+07:00,,,,
12,Nashville,overcast clouds,0.63,33.13,2025-01-24 04:04:20,2025-01-23 22:04:20-06:00,,,,
13,Bloomington,clear sky,-12.85,8.87,2025-01-24 04:04:19,2025-01-23 22:04:19-06:00,,,,
14,Marquette,broken clouds,-13.5,7.7,2025-01-24 04:04:19,2025-01-23 23:04:19-05:00,,,,
15,Baraboo,clear sky,-16.7,1.94,2025-01-24 04:04:19,2025-01-23 22:04:19-06:00,,,,
16,Zurich,broken clouds,2.68,36.82,2025-01-24 04:04:19,2025-01-24 05:04:19+01:00,,,,
17,Norilsk,overcast clouds,-37.51,-35.52,2025-01-24 04:04:19,2025-01-24 11:04:19+07:00,,,,
